area,la_city,covid_cases,covid_per_1k,lacounty_rate,Population,Share 65+,pct_white,pct_black,pct_latino,pct_asian,below_poverty_line,hh_overcrowding,avg_hh_size,housing_units,sq_mileage,housing_density,pop_density
Long Beach,No,875,1.86,1.86,470990,0.11,0.28,0.12,0.43,0.13,0.18,0.11,2.96,175951,52.10,3377,9040
Glendale,No,697,3.48,3.38,200372,0.17,0.61,0.02,0.18,0.16,0.15,0.07,2.75,77781,30.60,2542,6548
San Pedro,Yes,634,7.54,8.12,84092,0.15,0.34,0.06,0.49,0.06,0.16,0.07,2.70,33741,12.10,2789,6950
Pasadena,No,501,3.50,3.50,143173,0.16,0.37,0.10,0.34,0.16,0.16,0.06,2.57,61200,25.10,2438,5704
Palmdale,No,491,3.02,3.09,162358,0.09,0.21,0.12,0.60,0.04,0.18,0.09,3.62,48777,134.40,363,1208
Sylmar,Yes,466,5.62,5.66,82919,0.11,0.12,0.03,0.79,0.05,0.14,0.12,3.89,22301,12.50,1784,6634
Santa Clarita,No,463,2.39,2.10,193664,0.11,0.47,0.04,0.34,0.11,0.09,0.07,3.08,64216,57.40,1119,3374
North Hollywood,Yes,463,6.09,3.06,76039,0.10,0.33,0.06,0.51,0.07,0.20,0.14,2.73,31959,5.90,5417,12888
East Los Angeles,No,454,3.87,3.62,117348,0.11,0.02,0.00,0.97,0.01,0.21,0.19,3.88,32370,7.50,4316,15646
Van Nuys,Yes,429,3.82,4.60,112311,0.09,0.22,0.04,0.65,0.07,0.23,0.20,3.08,38226,9.00,4247,12479
Inglewood,No,413,3.75,3.64,110193,0.12,0.04,0.40,0.52,0.02,0.19,0.11,3.03,38339,9.10,4213,12109
Panorama City,Yes,403,5.63,5.36,71639,0.10,0.09,0.03,0.73,0.15,0.24,0.22,3.71,20289,3.60,5636,19900
Pacoima,Yes,397,4.77,5.16,83236,0.10,0.03,0.04,0.89,0.03,0.21,0.25,4.67,18968,7.10,2672,11723
Lancaster,No,394,2.53,2.44,155605,0.10,0.33,0.21,0.39,0.04,0.24,0.04,3.11,52557,102.40,513,1520
Canoga Park,Yes,365,5.44,5.59,67121,0.10,0.25,0.04,0.55,0.14,0.18,0.18,3.25,22959,4.30,5339,15610
Westlake,Yes,338,3.09,5.69,109416,0.10,0.07,0.04,0.69,0.18,0.33,0.37,2.92,41194,2.70,15257,40524
Pico-Union,Yes,336,7.45,8.03,45071,0.10,0.03,0.03,0.84,0.11,0.31,0.38,3.26,14640,1.70,8612,26512
Torrance,No,311,2.12,2.08,146392,0.17,0.39,0.02,0.17,0.35,0.07,0.06,2.68,58283,20.60,2829,7106
South Gate,No,304,3.20,3.10,95103,0.09,0.03,0.01,0.95,0.01,0.19,0.24,4.06,24385,7.40,3295,12852
Reseda,Yes,298,4.04,3.89,73705,0.12,0.29,0.04,0.53,0.12,0.17,0.16,3.34,22549,5.90,3822,12492
Burbank,No,291,2.79,2.72,104275,0.15,0.57,0.03,0.25,0.12,0.11,0.05,2.56,43595,17.30,2520,6027
Florence-Firestone,No,288,4.49,4.45,64162,0.07,0.01,0.07,0.91,0.00,0.28,0.33,4.34,15277,3.60,4244,17823
Boyle Heights,Yes,286,3.06,3.29,93528,0.10,0.03,0.01,0.93,0.03,0.28,0.27,3.83,25640,6.50,3945,14389
Carson,No,285,3.10,3.04,92038,0.16,0.07,0.22,0.38,0.27,0.10,0.10,3.73,25988,19.10,1361,4819
Downey,No,271,2.40,2.37,112901,0.12,0.14,0.04,0.74,0.07,0.10,0.12,3.45,34473,12.50,2758,9032
Compton,No,266,2.42,2.66,109715,0.09,0.01,0.30,0.67,0.01,0.22,0.20,4.18,27807,10.30,2700,10652
Lynwood,No,255,3.52,3.54,72447,0.08,0.02,0.08,0.88,0.01,0.20,0.26,4.46,16120,4.90,3290,14785
Pico Rivera,No,249,3.86,3.87,64564,0.15,0.06,0.01,0.89,0.03,0.10,0.14,3.72,17567,8.80,1996,7337
Hawthorne,No,240,2.67,2.70,89819,0.09,0.09,0.23,0.55,0.08,0.16,0.18,3.00,31233,6.20,5038,14487
Pomona,No,239,1.56,1.53,152823,0.10,0.12,0.06,0.71,0.10,0.20,0.18,3.95,40076,22.90,1750,6673
Norwalk,No,236,2.21,2.19,106806,0.12,0.11,0.04,0.70,0.13,0.13,0.17,3.84,28663,9.80,2925,10899
North Hills,Yes,232,3.90,3.77,59483,0.09,0.16,0.03,0.65,0.14,0.21,0.23,3.77,16067,5.30,3032,11223
El Monte,No,216,1.86,1.84,116308,0.12,0.04,0.00,0.65,0.29,0.21,0.21,3.89,31114,9.70,3208,11991
Hollywood,Yes,212,2.80,3.11,75678,0.10,0.46,0.07,0.36,0.08,0.23,0.12,2.03,44027,3.50,12579,21622
Northridge,Yes,208,3.21,2.98,64725,0.13,0.38,0.07,0.35,0.17,0.15,0.08,3.11,21956,9.50,2311,6813
Santa Monica,No,206,2.24,2.23,92078,0.17,0.65,0.04,0.16,0.10,0.10,0.03,2.01,50901,8.60,5919,10707
Montebello,No,204,3.11,3.17,65534,0.15,0.08,0.01,0.77,0.13,0.13,0.13,3.20,21133,8.50,2486,7710
Winnetka,Yes,199,3.38,3.84,58803,0.12,0.24,0.04,0.53,0.17,0.14,0.15,3.32,18571,4.80,3869,12251
Huntington Park,No,196,3.34,3.30,58694,0.08,0.02,0.01,0.97,0.01,0.26,0.34,4.15,14976,3.00,4992,19565
Sun Valley,Yes,184,2.58,3.51,71384,0.11,0.19,0.02,0.71,0.07,0.19,0.18,3.72,20185,9.40,2147,7594
Gardena,No,177,2.95,2.89,59924,0.16,0.10,0.23,0.38,0.25,0.15,0.10,2.84,21441,5.80,3697,10332
Florence,Yes,177,3.30,3.73,53591,0.05,0.01,0.18,0.80,0.00,0.32,0.28,4.34,13173,2.80,4705,19140
Historic South-Central,Yes,174,3.87,4.46,44932,0.06,0.01,0.06,0.91,0.01,0.36,0.36,4.18,11200,2.60,4308,17282
Bellflower,No,171,2.21,2.20,77529,0.11,0.16,0.13,0.55,0.13,0.14,0.15,3.32,25209,6.20,4066,12505
Paramount,No,171,3.12,3.05,54776,0.08,0.05,0.09,0.82,0.03,0.19,0.19,3.88,15041,4.90,3070,11179
Koreatown,Yes,170,1.70,3.29,99964,0.10,0.09,0.05,0.45,0.39,0.23,0.24,2.47,45571,2.70,16878,37024
Harvard Park,Yes,170,52.57,4.48,3234,0.15,0.01,0.40,0.58,0.00,0.19,0.07,2.98,1054,0.60,1757,5390
Vermont Vista,Yes,166,6.17,4.03,26920,0.08,0.01,0.33,0.64,0.00,0.33,0.20,3.48,7822,1.60,4889,16825
West Covina,No,164,1.65,1.52,99274,0.14,0.12,0.04,0.55,0.27,0.09,0.08,3.56,28983,16.10,1800,6166
Castaic,No,163,12.13,5.99,13436,0.09,0.55,0.04,0.26,0.11,0.04,0.01,3.48,4070,5.50,740,2443
Whittier,No,163,1.96,1.86,83061,0.14,0.23,0.01,0.70,0.05,0.11,0.08,3.08,27881,14.70,1897,5650
Sherman Oaks,Yes,163,2.22,1.87,73516,0.15,0.69,0.05,0.14,0.08,0.08,0.02,2.19,35371,9.10,3887,8079
East Hollywood,Yes,162,2.43,5.53,66648,0.12,0.21,0.03,0.56,0.18,0.24,0.27,2.73,25420,2.40,10592,27770
Exposition Park,Yes,157,4.58,3.50,34253,0.10,0.03,0.21,0.69,0.04,0.29,0.16,3.42,10407,1.80,5782,19029
Palms,Yes,155,3.63,3.53,42641,0.08,0.43,0.08,0.21,0.23,0.12,0.08,1.99,22805,1.90,12003,22443
South Park,Yes,154,3.97,4.06,38810,0.05,0.01,0.11,0.87,0.00,0.37,0.31,4.21,9543,1.40,6816,27721
Valley Village,Yes,152,7.22,6.15,21039,0.14,0.60,0.06,0.24,0.06,0.13,0.04,2.16,10286,2.10,4898,10019
Lincoln Heights,Yes,150,6.04,4.60,24852,0.13,0.04,0.00,0.69,0.26,0.26,0.18,3.36,7749,2.50,3100,9941
Granada Hills,Yes,149,2.57,2.56,58088,0.17,0.43,0.04,0.33,0.17,0.08,0.05,3.13,19743,15.10,1307,3847
Arleta,Yes,147,4.46,4.28,32949,0.11,0.06,0.01,0.82,0.09,0.11,0.21,4.48,7329,3.10,2364,10629
Bell,No,146,4.14,4.02,35270,0.08,0.04,0.01,0.93,0.01,0.23,0.26,3.96,9095,2.60,3498,13565
West Hollywood,No,144,3.96,3.90,36384,0.15,0.75,0.04,0.11,0.06,0.13,0.01,1.59,25781,1.90,13569,19149
West Adams,Yes,142,6.24,5.14,22746,0.11,0.06,0.26,0.65,0.02,0.24,0.14,2.92,8447,1.50,5631,15164
Watts,Yes,135,2.98,3.16,45364,0.06,0.01,0.23,0.74,0.01,0.40,0.23,4.38,11120,2.10,5295,21602
Silver Lake,Yes,132,4.41,2.99,29950,0.13,0.50,0.03,0.28,0.16,0.09,0.06,2.21,14422,2.70,5341,11093
Glassell Park,Yes,131,4.61,4.15,28386,0.13,0.18,0.01,0.59,0.19,0.18,0.15,3.19,9595,2.80,3427,10138
Bell Gardens,No,129,3.03,3.00,42641,0.07,0.03,0.01,0.95,0.01,0.30,0.30,4.40,9877,2.50,3951,17056
Baldwin Park,No,128,1.71,1.67,74901,0.12,0.04,0.02,0.74,0.19,0.14,0.20,4.30,18457,6.80,2714,11015
Lake Balboa,Yes,128,4.49,3.03,28523,0.13,0.37,0.04,0.44,0.11,0.12,0.08,3.02,9942,3.10,3207,9201
Woodland Hills,Yes,128,2.17,1.88,59012,0.18,0.68,0.05,0.13,0.11,0.07,0.03,2.57,24872,14.80,1681,3987
San Fernando,No,125,5.08,5.08,24585,0.10,0.04,0.02,0.92,0.01,0.15,0.17,3.90,6893,2.40,2872,10244
Wilmington,Yes,122,2.17,2.16,56151,0.08,0.05,0.02,0.90,0.02,0.22,0.31,3.86,14699,9.10,1615,6170
Redondo Beach,No,117,1.73,1.70,67700,0.13,0.62,0.03,0.17,0.12,0.05,0.02,2.42,29979,6.20,4835,10919
Beverly Hills,No,116,3.38,3.36,34362,0.22,0.79,0.01,0.06,0.10,0.10,0.03,2.44,17744,5.70,3113,6028
Chatsworth,Yes,116,2.20,3.13,52706,0.19,0.48,0.04,0.23,0.20,0.06,0.03,2.83,18967,15.20,1248,3468
El Sereno,Yes,115,2.82,2.75,40776,0.14,0.08,0.01,0.80,0.10,0.20,0.16,3.45,12206,4.20,2906,9709
Alhambra,No,110,1.29,1.27,84974,0.17,0.09,0.02,0.38,0.50,0.14,0.12,2.92,31394,7.60,4131,11181
Highland Park,Yes,108,2.04,2.23,53047,0.10,0.13,0.01,0.73,0.10,0.18,0.18,3.21,17408,3.40,5120,15602
Eagle Rock,Yes,108,3.20,2.73,33724,0.17,0.30,0.01,0.39,0.27,0.10,0.08,2.90,11623,4.30,2703,7843
Sunland,Yes,108,5.28,5.29,20441,0.19,0.57,0.04,0.27,0.09,0.12,0.05,2.72,7532,4.00,1883,5110
Covina,No,105,1.86,2.14,56367,0.14,0.23,0.04,0.58,0.13,0.10,0.09,3.21,18300,7.60,2408,7417
University Park,Yes,103,4.07,3.75,25307,0.06,0.28,0.06,0.33,0.29,0.53,0.20,2.80,6259,1.20,5216,21089
Lakewood,No,99,1.18,1.23,83934,0.13,0.35,0.07,0.35,0.18,0.07,0.05,3.13,28252,9.50,2974,8835
South Pasadena,No,99,3.83,3.80,25824,0.14,0.42,0.03,0.20,0.29,0.09,0.03,2.58,10893,3.40,3204,7595
Monterey Park,No,98,1.57,1.57,62602,0.21,0.04,0.00,0.29,0.65,0.14,0.10,3.11,21983,7.70,2855,8130
Valley Glen,Yes,97,1.70,3.23,57205,0.13,0.50,0.04,0.38,0.05,0.19,0.12,2.85,21001,4.80,4375,11918
Encino,Yes,97,2.00,2.15,48544,0.20,0.74,0.03,0.12,0.08,0.09,0.03,2.51,20709,9.50,2180,5110
Azusa,No,96,2.21,1.92,43402,0.10,0.14,0.02,0.72,0.10,0.14,0.14,3.70,12693,9.90,1282,4384
Cudahy,No,96,4.00,3.94,24016,0.07,0.03,0.00,0.96,0.00,0.28,0.29,4.35,5775,1.20,4813,20013
Culver City,No,93,2.34,2.33,39733,0.16,0.47,0.08,0.24,0.16,0.07,0.05,2.43,17575,5.20,3380,7641
Mission Hills,Yes,90,4.69,3.73,19199,0.15,0.19,0.02,0.68,0.10,0.10,0.10,3.54,5513,3.20,1723,6000
Hyde Park,Yes,89,2.48,3.12,35852,0.15,0.02,0.54,0.40,0.01,0.24,0.08,2.69,14758,2.90,5089,12363
Tujunga,Yes,88,3.48,3.16,25287,0.15,0.60,0.02,0.30,0.06,0.16,0.07,2.70,10070,10.00,1007,2529
Green Meadows,Yes,87,2.13,4.05,40766,0.07,0.01,0.27,0.71,0.00,0.27,0.22,4.17,10414,2.20,4734,18530
Tarzana,Yes,87,2.18,2.82,39820,0.18,0.65,0.04,0.18,0.08,0.11,0.07,2.74,15499,8.80,1761,4525
Altadena,No,86,1.94,1.97,44389,0.17,0.39,0.22,0.27,0.07,0.08,0.05,2.93,16299,8.70,1873,5102
Baldwin Hills/Crenshaw,Yes,85,2.72,2.73,31250,0.15,0.07,0.58,0.27,0.05,0.24,0.08,2.24,15379,2.90,5303,10776
