year,coc,homeless,homeless_hh,homeless_pct, adultpop , mktunits , n_medhhi , n_p10hhi , n_p20hhi , n_medrent , n_p10rent , n_p20rent ,r_medhhi,r_p10hhi,r_p20hhi,r_medrent,r_p10rent,r_p20rent,scarcity,ratio_p50,ratio_p10,ratio_p20,cpi_local,cpi_housing_local
2008,LA,47862,43823,0.00714,6703667,2977249,54000,13000,22000,1080,600,770,63828.61,15366.15,26004.25,1334.72,741.51,951.61,2.252,0.250932251,0.553846154,0.439131439,225.008,243.906
2009,LA,33243,30198,0.00494,6732114,2976238,54510,12000,22000,1122,630,790,64947.83,14297.82,26212.66,1383.75,776.97,974.3,2.262,0.255666922,0.652104461,0.446028159,223.219,244.413
2010,LA,33243,30198,0.00488,6814792,3038581,51900,12000,20400,1140,630,800,61105.77,14128.5,24018.45,1412.66,780.68,991.34,2.243,0.27741937,0.663068796,0.495289483,225.894,243.252
2011,LA,34622,28439,0.00502,6892052,3016842,50400,11620,20000,1150,650,820,57795.89,13325.16,22934.88,1414.35,799.41,1008.49,2.285,0.293657157,0.719913827,0.527663608,231.928,245.093
2012,LA,31553,26854,0.00452,6980810,3028484,52900,11800,20840,1175,664,830,59452.82,13261.69,23421.49,1420.77,802.88,1003.6,2.305,0.286768329,0.726499072,0.5141968,236.648,249.29
2013,LA,35524,31069,0.00503,7066270,3033911,54000,12000,20800,1200,658,850,60039.83,13342.18,23126.45,1420.44,778.87,1006.14,2.329,0.283898818,0.700520334,0.522073548,239.207,254.653
2014,LA,34393,28057,0.00479,7175004,3053000,55000,12200,21500,1240,700,870,60337.7,13384,23586.56,1436.9,811.15,1008.15,2.35,0.285770965,0.72727275,0.512908503,242.434,260.127
2015,LA,41174,35911,0.00568,7244706,3066564,58900,13000,23600,1282,710,900,64035.62,14133.5,25657.74,1446.8,801.27,1015.7,2.362,0.271125036,0.680317886,0.475036958,244.632,267.096
2016,LA,43854,40012,0.00605,7243577,3078881,60000,12400,22900,1340,720,923,64023.98,13231.62,24435.82,1456.07,782.36,1002.95,2.353,0.272910369,0.709540681,0.492530022,249.246,277.404
2017,LA,55188,49919,0.00757,7287143,3084972,65000,14000,25000,1400,760,964,67474.06,14532.88,25951.56,1463.38,794.41,1007.64,2.362,0.260256238,0.655951946,0.465933024,256.21,288.377
2018,LA,49955,44497,0.00688,7264770,3095730,67400,14400,26000,1480,800,1000,67400,14400,26000,1480,800,1000,2.347,0.263501484,0.666666667,0.461538462,265.962,301.432
2019,LA,56257,50562,,,,,,,,,,,,,,,,,,,,,
2008,SF,5171,,0.00748,691674,337617,83000,13100,27950,2844,640,1024,106392.1,16792.01,35827.22,3950.78,889.06,1422.5,2.049,0.445610018,0.635348669,0.476454673,222.767,242.561
2009,SF,5823,,0.00834,697933,340451,81900,12400,27570,2654,690,1100,104220.44,15779.41,35083.73,3632.82,944.48,1505.69,2.05,0.418284874,0.718261434,0.515004545,224.395,246.168
